Country Name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,7.962872496,5.882352941,7.307692308,8.203902828,2.547143909,1.185788172,7.046873978,1.991985852,1.238042106,7.616588194,-2.971256724,-3.273646411,1.975547262,7.911563466,1.214349349,1.050607528,1.800225971,-0.090708046,-10.51974854,-3.685029387,3.44605475,-1.369863014,4.198232323,0.3,5.700000876,2.099999586,1.999999104,,
Afghanistan,,,,,,,,,,,,,8.832277804,1.41411798,11.22971484,5.357403248,13.82631954,3.924983823,21.39052841,14.36244146,0.426354793,12.75228708,5.600744661,2.724543365,1.451314655,2.260314205,2.665292046,1.840088543,2.901228964
Angola,0.991359301,-5.838280733,-23.98341744,1.339363436,15.00000003,13.54436976,7.274277355,4.691146451,2.181489718,3.054624234,4.205998556,13.66568652,2.98985001,10.95286177,15.02891532,11.54768318,14.01001824,11.16613833,0.858712615,4.859197541,3.471981376,8.542147337,4.95459047,4.822625551,0.943575613,-2.580097243,-0.147207419,-2.003576754,-0.869393785
Albania,-28.00214166,-7.187110916,9.559411694,8.302866591,13.32233332,9.099999444,-10.91998409,8.830087709,12.88989673,6.950036134,8.290070027,4.53996064,5.530050778,5.509998693,5.529914809,5.900083957,5.979982036,7.49996956,3.350066528,3.706892301,2.545321845,1.417525992,1.00198715,1.774486785,2.218752232,3.314804753,3.802197488,4.071301295,2.214063153
Andorra,2.546002872,0.929211956,-1.031484011,2.383187691,2.757499187,4.649740149,9.067672199,3.194790296,4.099080837,3.528361297,8.119357722,4.546362214,8.694203716,8.135676338,5.397795985,4.808688699,1.553188141,-5.559186369,-5.302846543,-1.974958,-0.008069753,-4.974443719,-3.547596515,2.504465521,1.434140395,3.70967807,0.34607189,1.58876549,1.849238257
Arab World,1.514301183,4.98215812,3.270957227,3.198334315,2.754560586,4.596311961,4.239930098,5.266149848,1.789949565,5.459767033,1.571133334,0.583700726,5.331643759,9.32155715,5.749792044,6.50186983,4.552281042,5.808791304,0.425263876,4.642129411,3.816275069,6.59012056,3.184266494,2.447409777,3.173547388,3.421764682,1.13716881,2.089836584,1.478439683
United Arab Emirates,0.860081946,3.344944862,1.261190951,6.896148551,6.687886464,5.798404061,8.190398641,0.291994349,2.902213645,10.85270421,1.39908503,2.43345681,8.800540815,9.566436637,4.855141196,9.837319773,3.184390174,3.191836276,-5.242921907,1.602809961,6.930271629,4.484626085,5.053345825,4.284303686,5.105936984,3.060964308,2.373536708,1.189855642,1.677720371
Argentina,9.133110566,7.937291556,8.206979072,5.836200704,-2.845209611,5.526689827,8.111046771,3.850178852,-3.385457041,-0.788998939,-4.408839683,-10.89448483,8.837040796,9.029573301,8.85165992,8.0471515,9.007650875,4.057233103,-5.918525076,10.12539816,6.003951693,-1.026420454,2.405323781,-2.512615321,2.731159828,-2.080327844,2.668590379,-2.481792445,-2.162952121
Armenia,-11.69999848,-41.80000274,-8.799998794,5.400002783,6.899998416,5.865400751,3.321079698,7.299999989,3.300000002,5.9,9.6,13.2,14,10.5,13.9,13.2,13.7,6.9,-14.1,2.2,4.7,7.2,3.3,3.6,3.2,0.2,7.5,5.2,7.6
American Samoa,,,,,,,,,,,,,0.814111262,0.538358008,-0.401606426,-4.166666667,1.963534362,-2.613480055,-4.237288136,0.442477876,0.293685756,-4.39238653,-2.756508423,0.94488189,1.404056162,-2.769230769,-5.85443038,2.18487395,
