DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,WEALTH_QUINTILE:Wealth Quintile,SERIES_NAME:Series Name,SERIES_YEAR:Series Year,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,REGIONAL_GROUP:Regional group,COUNTRY_NOTES:Country notes,CONNECTION:Connection,DEATH_CATEGORY:Death category,CATEGORY:Category,OBS_STATUS:Observation Status,UNIT_MEASURE:Unit of measure,SERIES_CATEGORY:Series Category,SERIES_TYPE:Series Type,STD_ERR:Standard Error,REF_DATE:Reference Date,AGE_GROUP_OF_WOMEN:Age Group of Women,TIME_SINCE_FIRST_BIRTH:Time Since First Birth,DEFINITION:Definition,INTERVAL:Interval,SERIES_METHOD:Series Method,LOWER_BOUND:Lower Bound,UPPER_BOUND:Upper Bound,STATUS:Status,YEAR_TO_ACHIEVE:Year to achieve,MODEL:Model Used
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,1949-06,25.4551672613221,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,1949.5,,,,1,,24.1483431459561,26.8343038129807,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,1950-06,25.082172126084,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,1950.5,,,,1,,24.2972685369867,25.909271946225,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,1951-06,24.6655233518941,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,1951.5,,,,1,,24.127639530273,25.2194479737815,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,1952-06,24.1807466484096,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,1952.5,,,,1,,23.7169349337067,24.6702626667341,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,1953-06,23.6448467501688,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,1953.5,,,,1,,23.1738540473401,24.1243536317783,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,1954-06,23.0935344594309,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,1954.5,,,,1,,22.6324331755641,23.549805796664,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,1955-06,22.5584438289587,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,1955.5,,,,1,,22.1282381960748,23.0010827063212,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,1956-06,22.0635572324461,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,1956.5,,,,1,,21.6359764371682,22.4948080257879,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,1957-06,21.6077675899157,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,1957.5,,,,1,,21.19394241807,22.0118627684593,,,B3: B3
UNICEF:CME_DF_2021_WQ(1.0): IGME Child Mortality Estimates wq,AUS: Australia,MRY0: Infant mortality rate,_T: Total,_T: Total,UN_IGME: UN IGME estimate,2021: 2021,1958-06,21.1768304571945,,,,,,A: Normal value,"D_PER_1000_B: Deaths per 1,000 live births",,,,1958.5,,,,1,,20.7771271488696,21.5795056129348,,,B3: B3
