"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","X101"
"Australia",0.000684942328086075,0.00054403143015007,0.000465336126974121,0.000423651422379857,0.000406735767687946,0.000408487061553421,0.000423344716750915,0.000444910443683318,0.000468233366010234,0.000491872560981749,0.000516744949025392,0.000543296137623055,0.000570403882204159,0.000597014536760674,0.000624302092863422,0.000655280940972903,0.000691936014940796,0.000733833705495983,0.000780351552738601,0.000832799305137393,0.000892578865473346,0.00095788041366469,0.0010237976453871,0.00108613203419954,0.00114531890010322,0.00120757367049221,0.00128264407949685,0.00137946048252977,0.00150170498034191,0.00164497219561581,0.00179726353046774,0.00194425759471505,0.00207808299022558,0.00220441213856311,0.00234117186609373,0.00250712721852599,0.00270923804322721,0.00294090677487318,0.00319036392682672,0.00344698593898417,0.00370112484929733,0.00394536629966215,0.0041815614809111,0.00442666918335391,0.00470886658499044,0.00505365509904243,0.00546930121209387,0.00594430802036413,0.00645935197089471,0.00700086499026397,0.00756465668156405,0.00815204509188561,0.0087658487704431,0.00941099229872168,0.0101024294384563,0.0108718670949227,0.0117567222045351,0.0127753617373938,0.0139150377796291,0.0151439699903199,0.0164313186477019,0.0177581667704227,0.0191221580676656,0.0205474288231755,0.0220934121949791,0.0238354276253572,0.0258138491926244,0.0279971437413462,0.0302948185840671,0.0325958733407662,0.0347929544547675,0.0367913632515521,0.0385216387197618,0.039956854419859,0.0411112043090597,0.0419942097746991,0.0425436516581258,0.0426129668491162,0.0420423120355798,0.0407433529847802,0.0387266981221235,0.036079962661303,0.0329376333832326,0.0294619363341155,0.0258304097690797,0.0222139152971954,0.0187424358524405,0.0154891802235425,0.0124950039313313,0.00980301728353063,0.00746266693626557,0.00550795985331449,0.00394072488365414,0.00273187506422141,0.00183247573334973,0.00118504598957394,0.000732373303420971,0.000423808545769143,0.000218925481180477,8.91423813525168e-05,1.78067783727777e-05
"Austria",0.000540488852398117,0.000467986737140622,0.000437636011415152,0.000425189822146827,0.000418398719381791,0.000413176351938649,0.000409536055106798,0.000408795190311444,0.000412117236324375,0.00041988901192767,0.000431847281964568,0.00044773649549891,0.000467556139876961,0.000491122597432328,0.000518120754456799,0.000549024044943419,0.000585214878912919,0.000627317581378034,0.000673623050221396,0.000721070341052885,0.000768317887904914,0.000817654797676935,0.000873629282859615,0.000940287267562668,0.00102047310236111,0.00111729117284591,0.00123467344832763,0.00137597971884433,0.00154267599097059,0.00173374440026257,0.00194431670518051,0.0021648760331243,0.00238526550582186,0.00260273933424227,0.0028257976224942,0.00306828227888905,0.00333962838752402,0.00364129174868383,0.00397059869886432,0.00432495544726876,0.00470201068156652,0.00509865991782628,0.00551355730004094,0.0059527316729902,0.00643159005217522,0.00696706156571637,0.00756382990914291,0.00820749501311446,0.00887167931273158,0.00953196726532414,0.0101749952001303,0.010798586788775,0.0114070733964003,0.0120079131327908,0.0126125673876875,0.013240187848818,0.013920473466775,0.0146921953522206,0.0155949522251791,0.0166551598306559,0.0178737199166292,0.0192273527527738,0.0206909407875907,0.0222696980132455,0.0240082657187478,0.0259523216248958,0.0280883052828459,0.0303223905342125,0.0325237408684487,0.0345875559793004,0.0364568928818573,0.0380948040449626,0.0394542413384289,0.0404861297465316,0.0411639501931072,0.0414712827766476,0.041352179342909,0.0406909433834247,0.0393637713763831,0.0373193617170382,0.0346170474430791,0.0314042126499281,0.0278674989837228,0.0241932506173101,0.0205470625454159,0.0170648520909071,0.0138473487357274,0.0109593499460437,0.00843768452030346,0.00630169272909339,0.00455580165773814,0.00318490766154571,0.00215227967712919,0.00140499976501635,0.000883747205726975,0.00053190302067366,0.000301301853939364,0.000154244356455739,6.29847053393728e-05,8.32378663746295e-06,0
"Belgium",0.000688035685302484,0.000560620132587,0.000491328147197988,0.000460130082884489,0.000454314986751438,0.000464773658278701,0.000484245490491876,0.000507301049743615,0.000530325598803701,0.000550396608998234,0.000564507744099457,0.000571282826674344,0.000573892094628982,0.000580300471272739,0.000599521068932146,0.000636746973740895,0.000691220118528162,0.000758194349410114,0.000832687473140992,0.000911113377266462,0.00098991500084185,0.00106499510479909,0.001135090249113,0.00120590362447373,0.00128871251737623,0.00139296146839125,0.00151995986422217,0.00166387005833443,0.00181811816904375,0.00198050359206416,0.00215306521023386,0.00233863684944779,0.00253924503874682,0.00275898393147831,0.00300735022980977,0.00329637375227224,0.00363190271067269,0.00400791046726608,0.00441004841463821,0.0048238824169299,0.00523963766182051,0.00565264468311679,0.00606401569630592,0.00648162996757301,0.00691698261802801,0.00737856829263657,0.00786960783551621,0.00839325317033019,0.00895598802916176,0.009560294295772,0.0101945281330044,0.0108366619118367,0.0114742563296179,0.0121239230803372,0.012830838510758,0.0136438366087802,0.0145838041298626,0.0156331802729081,0.0167558940598771,0.0179264252870872,0.0191402647683673,0.0204024273424657,0.0217164592121989,0.0230938421040402,0.0245717531531908,0.0262050716843116,0.0280261976572896,0.0300123967974972,0.0320933026998817,0.0341778039933412,0.036161603280334,0.0379179085314019,0.0393079389332542,0.0402244944316817,0.0406299395944627,0.0405401533210619,0.0399658728005679,0.0388814367489915,0.0372580106609521,0.0351133374641772,0.0325167497529352,0.0295572463627374,0.0263257300158761,0.0229298318652228,0.0195096608512178,0.016220244484431,0.0131888199935235,0.0104869365630377,0.00813892319577633,0.00614749993933157,0.00450770351997877,0.00320438887573733,0.00220707384000053,0.00147165364632213,0.000947537834436453,0.000585237582047178,0.000341503542377228,0.000181443872477091,7.85385189346981e-05,1.38523346719767e-05,0
"Bulgaria",0.00109120955800309,0.000902783461742422,0.000785534812062627,0.000715500112056045,0.000676702553872624,0.000660042786315931,0.000661606313692494,0.000680355617245814,0.000715469753290672,0.000764104457747361,0.000820748343830303,0.000878774741800847,0.000933241605247865,0.000983042909695714,0.00103115132185678,0.00108305544010093,0.00114440736203983,0.00121915986667136,0.00130925754594514,0.00141605547211324,0.00154219550668708,0.00169191119007745,0.00186895320564981,0.00207381824750198,0.00230304383560676,0.0025514538907985,0.00281540580675328,0.00309456739323311,0.00339165240770717,0.00371092516497961,0.0040559622858313,0.00442728268051744,0.00482185770555206,0.00523617713819563,0.00567080979048571,0.00613143151145443,0.00662405066194956,0.00714852301769104,0.00769677388560984,0.00825706187399082,0.0088192006865733,0.00937624655356282,0.00992469441124746,0.0104674890528673,0.0110177500983276,0.0115960219568127,0.0122201281787321,0.0128968325342879,0.0136228466880603,0.0143905756579531,0.0151896100332342,0.0160050695272273,0.0168216264026176,0.0176334497955276,0.0184484082051155,0.0192804401746191,0.0201412115591966,0.0210444975242357,0.0220174529505169,0.0230984431046258,0.0243142384106794,0.0256556325104232,0.0270761732604218,0.0285152093475069,0.0299216552626912,0.0312577979910312,0.032487398561365,0.0335671394003094,0.0344494446046856,0.0350880582277141,0.035438882765545,0.0354598272609414,0.0351141515529209,0.0343742015306919,0.0332233140280551,0.0316613084832952,0.029716173658886,0.02745147614897,0.0249568635325171,0.0223260581603111,0.0196418194621184,0.0169789493274817,0.014414072131439,0.0120232274576254,0.00986483204331289,0.00796492229582009,0.00631998377882369,0.00491367923290837,0.00373119235777577,0.00276128706038337,0.00199025530226347,0.00139723088338072,0.00095502915852295,0.000634256502448886,0.000407176378415834,0.000249893132047275,0.000143078880561256,7.18572949238333e-05,2.53066868214026e-05,0,0
"Belarus",0.000964001987508933,0.000948704620477033,0.000970764879927153,0.00101477142719693,0.001070783038455,0.0011339502835674,0.00120356371447068,0.00128162264158336,0.00137117366576259,0.0014747857266263,0.00159360035676252,0.00172728323633582,0.00187472078499382,0.00203473233861886,0.00220608266554157,0.00238682801867581,0.00257377610370798,0.00276280906401995,0.00295006962658938,0.00313332105524421,0.00331277613775831,0.00349119370020907,0.00367342242086146,0.00386548680003047,0.00407310375191096,0.00429978210900715,0.00454539440020639,0.00480648771577385,0.00507880017752271,0.00536081429587237,0.00565617619377585,0.00597353478773778,0.00632420385271255,0.00671927024851379,0.0071673751011654,0.0076731727715064,0.00823594267650744,0.00884848711331719,0.00949736921683564,0.01016552244495,0.0108370079230974,0.01150203200128,0.0121595519308215,0.0128157315745544,0.0134788387857391,0.0141534262329834,0.0148371607947978,0.0155219814585792,0.0161985684648989,0.0168613534452571,0.0175115714554952,0.0181575110639905,0.0188125859217121,0.0194922312349728,0.020210391049914,0.0209763979676967,0.0217932938045503,0.0226581532212279,0.0235635333528336,0.0244981941235925,0.0254462107107493,0.0263857992287758,0.0272900137989069,0.0281296968083956,0.0288766328043986,0.0295046489663767,0.0299885827064099,0.030302956139068,0.0304219571532744,0.0303209733927697,0.0299793837746768,0.029384409615635,0.0285349944847831,0.0274431741263279,0.0261307738752825,0.0246227367294932,0.0229420285197168,0.0211105400250161,0.019155341239887,0.0171148055139147,0.0150393023526527,0.0129858537354923,0.0110104437071966,0.00916190736252363,0.00747856634276684,0.00598657995910742,0.00469909907842411,0.00361648803093846,0.0027281887514678,0.00201596168880918,0.00145741741324898,0.00102884715025584,0.00070709162242471,0.000470726293784787,0.000300834410861859,0.000181419909741744,9.94635601710734e-05,4.47170115151139e-05,9.36714939155702e-06,0,0
"Canada",0.000708563538319325,0.000601165096587813,0.000548331894332978,0.000525304914466485,0.000517437304418507,0.000517217739665459,0.000521247001172568,0.000528243949807595,0.000538064070694116,0.000550935882640905,0.000566580101931645,0.0005838323005321,0.000601284913231408,0.000618463590763425,0.000636530968183333,0.000657823175136861,0.000684408960497758,0.000716852516162448,0.000754316913298215,0.000795834276561922,0.000841564953851036,0.000893164589671142,0.000953289715145313,0.00102487600624079,0.00111057660004799,0.00121202383364148,0.00132883632516387,0.00145844960125708,0.00159753732139155,0.0017438092744207,0.00189643508099844,0.00205526144514017,0.0022205921441705,0.00239453549178391,0.00258258571179462,0.00279277462143297,0.00303189701387828,0.0033020811852801,0.00360076702208772,0.00392295912769125,0.00426291954956312,0.00461500378606383,0.00497516512718738,0.00534333957503335,0.00572492061193426,0.00612964856031481,0.00656861102779525,0.00705112779669323,0.00758138313016509,0.00815502192808582,0.00876017571580876,0.00938656331976506,0.0100374493260385,0.0107339042142858,0.0115061769987666,0.0123763417745359,0.0133430351187727,0.0143805323743083,0.0154557807847814,0.0165511125767087,0.0176739565359328,0.0188474980797771,0.0200948984121429,0.0214335140817725,0.0228793978994083,0.0244465494409752,0.0261336995794709,0.0279123449868316,0.0297297687534908,0.0315213741783511,0.033219069258878,0.0347536551648935,0.0360620730055671,0.0371088869078473,0.037906608310173,0.0384974895289953,0.0388901695233523,0.03900673986792,0.0386981245877615,0.0378157643542871,0.0362801235189438,0.0341093399749624,0.03141144040252,0.028354916369793,0.025127539888273,0.0218932914391071,0.0187631053941084,0.0157951265635232,0.0130221883198176,0.0104804445786229,0.00821476368816441,0.00626356016033376,0.0046431080721236,0.0033435458492421,0.00233443095683592,0.00157345497290318,0.00101467274517724,0.000614787498792108,0.000337318458333938,0.00015537536551841,5.32134704868054e-05
"Switzerland",0.000429974935197145,0.000364511805135993,0.000329648327801966,0.000315255071826402,0.000314681622634081,0.000322863036812303,0.000335374467237712,0.000347977949022978,0.000356966888769373,0.000360689925047216,0.000361033399422849,0.000362779253327789,0.000370790163109752,0.000387144023667296,0.000410161606512174,0.000436172337748877,0.000463190758630684,0.000493314591877241,0.000530953022507365,0.000578456093891584,0.000633973074953102,0.000693373840080347,0.000753349721029813,0.0008135715701846,0.000878176199461662,0.000954671736010891,0.00104827436459024,0.00115632520853547,0.00126948048176624,0.00137861426038646,0.00148113330800031,0.0015835940266774,0.00170040281026989,0.00184804325147045,0.00203685325409182,0.00226608030539552,0.00252578736382932,0.00280371541803543,0.00309230920932499,0.00339102856436009,0.00370212629766269,0.00402425016926105,0.00435125022919127,0.00467808702366787,0.00500793655890858,0.00535437237013827,0.00573739612283108,0.00617373999156048,0.00666451142218767,0.00719182312482022,0.00773357504381632,0.00828323610689134,0.00885272713796154,0.00946157728288873,0.0101321426126965,0.0108898610646364,0.011753051831663,0.0127182242128038,0.0137625460851095,0.0148667113616237,0.0160361787896939,0.0172964004729307,0.0186684145454463,0.0201665094598703,0.0218321777911759,0.023744746637383,0.0259612130202782,0.02844868675448,0.0310980377632245,0.0337888379050276,0.0364096478953739,0.038827951318784,0.0408923293921416,0.0425006340351134,0.0436609826214637,0.0444522495901985,0.0448974700246493,0.0448831056385677,0.044217260452599,0.0427520609040875,0.0404410393618137,0.0373239780707482,0.0335196669874382,0.029247215380834,0.0248140209803163,0.0205316641205165,0.0166140370635994,0.0131461354131958,0.0101364812405024,0.00758142832784335,0.00548256671540991,0.00382876311619264,0.0025819123723719,0.00168094482056975,0.00105495671176892,0.000635123287555546,0.000362121102691666,0.000189231109210412,8.22382979560393e-05,1.78357867285574e-05,0
"Chile",0.000892050255368778,0.000769445803496956,0.000706137514544983,0.000679709823180937,0.00067626310275814,0.000687129409893627,0.000706404859789407,0.000729947094277746,0.000755358496433053,0.000781794279787542,0.000808915410916489,0.000835777041656761,0.000861135476950298,0.000885315032521506,0.000911762607470624,0.000946158275864866,0.000993146721747937,0.00105334686764932,0.00112338586014689,0.00119894857954564,0.00127808621500726,0.00136206026611837,0.00145357366015565,0.00155462839870502,0.00166605291146892,0.00178847625520247,0.00192306940429818,0.00207112501516927,0.0022328283882596,0.0024060432282028,0.00258637548351168,0.0027698784609207,0.00295761368505692,0.00315808172000519,0.00338386451240354,0.00364387214947841,0.00393733219371389,0.0042547941803685,0.00458552438790358,0.00492534858544262,0.00527914617736223,0.00565731954118423,0.00607048477876193,0.00652672829770227,0.0070316683037558,0.00758855126687845,0.00819735728223281,0.00885503134995878,0.00955782016997233,0.0103029237006175,0.0110871220583933,0.0119049501814866,0.0127510541426722,0.01362680344409,0.0145447095564293,0.0155234432698361,0.0165743468630073,0.0176901845169725,0.0188463087097637,0.0200125955436652,0.0211659002240737,0.0222978610101694,0.0234224754692218,0.0245855458485415,0.0258647706874248,0.027345198829572,0.0290719822232069,0.0310054902013871,0.0330089534020904,0.0348810069562496,0.0364182813464851,0.0374751782358052,0.0379935817250044,0.0379978921646926,0.0375647873799769,0.0367772505637532,0.0356801284135996,0.0342664904980388,0.0325081666331883,0.0304045603116704,0.0280086051153946,0.0254147500641382,0.022726920666899,0.0200331336882933,0.0173992656345052,0.0148755018433725,0.0125024291442745,0.0103124141614069,0.00833056692176168,0.00657692545623788,0.00506618693631369,0.00380369709475457,0.00278162070825028,0.00197909207356582,0.00136625139690763,0.00090972309551984,0.000577264975847159,0.00034058358767153,0.000176662017040946,6.83799561686939e-05,4.69761235194778e-06
"Czech Republic",0.000709240891238033,0.000611027074629161,0.000559988796343417,0.000536811896977345,0.000529032811162448,0.000529609770640061,0.000535244829302876,0.000544579677166695,0.000556682304218679,0.000570457251876861,0.000585221552810498,0.000601598217523723,0.000621425104571426,0.000646501650553948,0.000677351128559844,0.000713144089117501,0.000752835138529761,0.000796615265784855,0.000846542451903694,0.000905845296781591,0.000977619581211316,0.00106422243038305,0.00116768962686182,0.00129006310943155,0.00143260275474645,0.00159454771541336,0.00177318249826351,0.0019656778441066,0.00217079919128266,0.00238838839242002,0.00261734694460294,0.00285523071472144,0.00310124252615637,0.00336059960316793,0.00364581598839961,0.00397199856540004,0.00434844186430726,0.00477339450801366,0.00523716323414531,0.00573084325933958,0.00625230976566751,0.00680482577923531,0.00739252432221775,0.00801967603391005,0.00869336790250239,0.00942250076022536,0.0102104856590339,0.0110486098733434,0.0119172774605107,0.012793042261429,0.0136544955359817,0.0144855747255683,0.0152809730380185,0.0160549753821971,0.0168455974561621,0.0177038589345646,0.0186704744278873,0.0197570455294044,0.0209462100740034,0.0222056529757064,0.0234990996254586,0.0247897643097687,0.0260501797185779,0.0272855907637935,0.0285488420676139,0.0299161171439376,0.0314295926375622,0.0330538035133719,0.0346804822433012,0.0361658144845783,0.0373622172216598,0.0381353430659623,0.0383856162460572,0.0380793451166021,0.0372604676812875,0.0360151886791517,0.0344095811338586,0.0324577974361424,0.0301504574554262,0.0275081862222044,0.0246047523528066,0.0215478411968826,0.0184507034842565,0.0154225591235071,0.0125703817896079,0.00999081171508485,0.0077504878438048,0.00587304388274477,0.00434492924681228,0.0031325365380727,0.00219602903961118,0.0014944125115685,0.000986102313836545,0.000630029861055002,0.00038829397489904,0.000228785527922983,0.00012636381362544,6.24598933386194e-05,2.39011324799088e-05,1.71609886264153e-06,0
"Germany",0.000473016335908108,0.000394057137842769,0.000357589732946036,0.000345500175697029,0.000346426571469519,0.000354094483892667,0.000365590078448751,0.000379969290194874,0.00039715897140748,0.000417031043654814,0.00043893388256004,0.000462012621359614,0.000485989460854447,0.000511591745186186,0.000540178714437264,0.000572934532964238,0.00061049091705415,0.000653387946996841,0.000702597264269391,0.00075901539803134,0.000822331382669514,0.000891071208659042,0.000964572680789649,0.00104517708677232,0.00113820598131742,0.00124933012608822,0.00138148628115174,0.00153387102868096,0.00170353088382859,0.00188792407776252,0.00208654537306362,0.0023010657033932,0.00253482099523979,0.00279244821931828,0.00307903667943827,0.00339760651861099,0.00374600144850215,0.00411670520024755,0.00450093151066502,0.00489317984725902,0.0052915296841227,0.00569442043991536,0.00609986617537633,0.00651060387298354,0.00693980698461016,0.00740785122943307,0.00792959800774954,0.00850413335113579,0.00911718838445165,0.00975202050212532,0.0103967524446832,0.0110436486780401,0.0116874077788773,0.012330942849371,0.0129951591056756,0.0137180610456447,0.0145376102450834,0.0154744437045946,0.0165324058150826,0.0177119250889652,0.0190169479134325,0.0204486786594288,0.0219996057770419,0.023662934730781,0.0254500284756388,0.0273877718967066,0.0294839348217895,0.0316894702234468,0.0338955689002364,0.0359654049427182,0.037768944122956,0.0392008667952917,0.040190146747178,0.0407136236423924,0.0408008087565226,0.0405030642970086,0.0398342027325231,0.0387361616298175,0.0371089739089726,0.0348808732667136,0.0320671455752151,0.0287902378578675,0.0252546938132446,0.021684001411214,0.018254615435434,0.0150702789382709,0.0121803963144633,0.0096100658823348,0.00737711683228961,0.00549423715073443,0.00396286294488919,0.00276631533761615,0.00186869561467877,0.00122084345354054,0.000769370864490957,0.000464401808656483,0.000264094316136543,0.000135992972725315,5.63954693766591e-05,9.06111873643736e-06,0
