Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
1933,0,0.06129,0.05861,0.25,100000,5861,95624,6089609,60.9
1933,1,0.00946,0.00941,0.5,94139,886,93696,5993985,63.67
1933,2,0.00435,0.00434,0.5,93253,405,93050,5900289,63.27
1933,3,0.0031,0.0031,0.5,92848,288,92704,5807239,62.55
1933,4,0.00239,0.00238,0.5,92560,221,92450,5714535,61.74
1933,5,0.00197,0.00197,0.5,92340,182,92248,5622085,60.88
1933,6,0.00177,0.00177,0.5,92157,163,92076,5529837,60
1933,7,0.00161,0.00161,0.5,91994,148,91920,5437761,59.11
1933,8,0.00147,0.00147,0.5,91846,135,91779,5345841,58.2
1933,9,0.00135,0.00135,0.5,91711,124,91649,5254062,57.29
1933,10,0.00127,0.00127,0.5,91587,116,91529,5162413,56.37
1933,11,0.00123,0.00123,0.5,91471,113,91415,5070884,55.44
1933,12,0.00128,0.00128,0.5,91358,117,91300,4979469,54.5
1933,13,0.0014,0.0014,0.5,91242,128,91178,4888170,53.57
1933,14,0.00158,0.00158,0.5,91114,144,91042,4796992,52.65
1933,15,0.00182,0.00182,0.5,90970,165,90887,4705950,51.73
1933,16,0.00206,0.00206,0.5,90804,187,90711,4615063,50.82
1933,17,0.00229,0.00229,0.5,90618,207,90514,4524352,49.93
1933,18,0.00252,0.00251,0.5,90410,227,90296,4433838,49.04
1933,19,0.00274,0.00274,0.5,90183,247,90059,4343542,48.16
1933,20,0.00297,0.00296,0.5,89936,267,89802,4253482,47.29
1933,21,0.00317,0.00316,0.5,89669,283,89527,4163680,46.43
1933,22,0.00333,0.00332,0.5,89386,297,89237,4074153,45.58
1933,23,0.00346,0.00345,0.5,89088,307,88935,3984916,44.73
1933,24,0.00354,0.00354,0.5,88781,314,88624,3895981,43.88
1933,25,0.0036,0.00359,0.5,88467,318,88308,3807357,43.04
1933,26,0.00366,0.00365,0.5,88149,322,87988,3719049,42.19
1933,27,0.00373,0.00372,0.5,87828,327,87664,3631060,41.34
1933,28,0.00381,0.0038,0.5,87501,333,87334,3543396,40.5
1933,29,0.0039,0.0039,0.5,87168,340,86998,3456062,39.65
1933,30,0.00401,0.004,0.5,86828,347,86655,3369064,38.8
1933,31,0.00415,0.00414,0.5,86481,358,86302,3282409,37.96
1933,32,0.00433,0.00433,0.5,86123,373,85937,3196108,37.11
1933,33,0.00457,0.00456,0.5,85750,391,85555,3110171,36.27
1933,34,0.00485,0.00484,0.5,85359,413,85153,3024616,35.43
1933,35,0.00515,0.00514,0.5,84946,436,84728,2939463,34.6
1933,36,0.00541,0.00539,0.5,84510,456,84282,2854735,33.78
1933,37,0.00561,0.0056,0.5,84055,471,83819,2770453,32.96
1933,38,0.0058,0.00578,0.5,83584,483,83342,2686633,32.14
1933,39,0.00597,0.00595,0.5,83101,495,82853,2603291,31.33
1933,40,0.00618,0.00616,0.5,82606,509,82351,2520437,30.51
1933,41,0.00649,0.00647,0.5,82097,531,81831,2438086,29.7
1933,42,0.00691,0.00688,0.5,81566,561,81285,2356255,28.89
1933,43,0.0074,0.00737,0.5,81004,597,80706,2274970,28.08
1933,44,0.00795,0.00792,0.5,80407,637,80089,2194264,27.29
1933,45,0.00855,0.00851,0.5,79771,679,79431,2114175,26.5
1933,46,0.00916,0.00912,0.5,79092,721,78731,2034743,25.73
1933,47,0.0098,0.00975,0.5,78370,764,77988,1956012,24.96
1933,48,0.01049,0.01043,0.5,77606,810,77201,1878024,24.2
1933,49,0.01124,0.01117,0.5,76796,858,76367,1800823,23.45
1933,50,0.01204,0.01196,0.5,75938,909,75484,1724455,22.71
1933,51,0.01283,0.01275,0.5,75030,957,74551,1648971,21.98
1933,52,0.01361,0.01352,0.5,74073,1001,73572,1574420,21.25
1933,53,0.01437,0.01427,0.5,73071,1043,72550,1500848,20.54
1933,54,0.01511,0.015,0.5,72029,1081,71489,1428298,19.83
1933,55,0.01591,0.01578,0.5,70948,1120,70388,1356809,19.12
1933,56,0.01693,0.01679,0.5,69829,1172,69242,1286421,18.42
1933,57,0.01825,0.01809,0.5,68656,1242,68035,1217178,17.73
1933,58,0.01989,0.01969,0.5,67414,1328,66751,1149143,17.05
1933,59,0.02186,0.02163,0.5,66087,1429,65372,1082392,16.38
1933,60,0.0241,0.02382,0.5,64657,1540,63887,1017020,15.73
1933,61,0.02629,0.02594,0.5,63118,1638,62299,953133,15.1
1933,62,0.02833,0.02793,0.5,61480,1717,60621,890834,14.49
1933,63,0.03026,0.0298,0.5,59763,1781,58872,830213,13.89
1933,64,0.03208,0.03158,0.5,57981,1831,57066,771341,13.3
1933,65,0.03396,0.03339,0.5,56151,1875,55213,714275,12.72
1933,66,0.03637,0.03572,0.5,54276,1939,53306,659062,12.14
1933,67,0.0395,0.03874,0.5,52337,2027,51323,605755,11.57
1933,68,0.04345,0.04252,0.5,50310,2139,49240,554432,11.02
1933,69,0.04831,0.04717,0.5,48170,2272,47034,505192,10.49
1933,70,0.05395,0.05253,0.5,45898,2411,44693,458157,9.98
1933,71,0.05953,0.05781,0.5,43487,2514,42230,413464,9.51
1933,72,0.06473,0.0627,0.5,40973,2569,39689,371234,9.06
1933,73,0.06959,0.06725,0.5,38404,2583,37113,331545,8.63
1933,74,0.07384,0.07121,0.5,35821,2551,34546,294433,8.22
1933,75,0.07722,0.07435,0.5,33270,2474,32034,259887,7.81
1933,76,0.08347,0.08013,0.5,30797,2468,29563,227853,7.4
1933,77,0.09084,0.0869,0.5,28329,2462,27098,198290,7
1933,78,0.09941,0.0947,0.5,25867,2450,24643,171192,6.62
1933,79,0.10906,0.10342,0.5,23418,2422,22207,146549,6.26
1933,80,0.11774,0.11119,0.5,20996,2335,19829,124343,5.92
1933,81,0.12863,0.12086,0.5,18661,2255,17534,104514,5.6
1933,82,0.13981,0.13068,0.5,16406,2144,15334,86980,5.3
1933,83,0.1513,0.14066,0.5,14262,2006,13259,71646,5.02
1933,84,0.16313,0.15083,0.5,12256,1849,11332,58387,4.76
1933,85,0.17519,0.16108,0.5,10407,1676,9569,47055,4.52
1933,86,0.18836,0.17215,0.5,8731,1503,7980,37486,4.29
1933,87,0.20298,0.18427,0.5,7228,1332,6562,29507,4.08
1933,88,0.21839,0.19689,0.5,5896,1161,5316,22945,3.89
1933,89,0.23355,0.20913,0.5,4735,990,4240,17629,3.72
1933,90,0.24728,0.22007,0.5,3745,824,3333,13389,3.58
1933,91,0.25847,0.22889,0.5,2921,669,2587,10056,3.44
1933,92,0.26695,0.23552,0.5,2252,530,1987,7470,3.32
1933,93,0.27292,0.24015,0.5,1722,413,1515,5482,3.18
1933,94,0.27763,0.24379,0.5,1308,319,1149,3967,3.03
1933,95,0.31371,0.27118,0.5,989,268,855,2819,2.85
1933,96,0.33102,0.28401,0.5,721,205,619,1963,2.72
1933,97,0.3488,0.297,0.5,516,153,440,1345,2.6
1933,98,0.36702,0.31011,0.5,363,113,307,905,2.49
1933,99,0.38563,0.3233,0.5,250,81,210,598,2.39
1933,100,0.4046,0.33652,0.5,169,57,141,388,2.29
