Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
1992,0,0.01507,0.01487,0.12,100000,1487,98689,7450118,74.5
1992,1,0.00134,0.00134,0.5,98513,132,98447,7351429,74.62
1992,2,0.0008,0.0008,0.5,98381,79,98342,7252982,73.72
1992,3,0.00055,0.00055,0.5,98302,54,98275,7154640,72.78
1992,4,0.00031,0.00031,0.5,98248,30,98233,7056365,71.82
1992,5,0.00024,0.00024,0.5,98218,24,98206,6958132,70.84
1992,6,0.00026,0.00026,0.5,98194,26,98181,6859926,69.86
1992,7,0.00028,0.00028,0.5,98168,27,98155,6761745,68.88
1992,8,0.00029,0.00029,0.5,98141,28,98127,6663590,67.9
1992,9,0.00024,0.00024,0.5,98112,24,98101,6565463,66.92
1992,10,0.00023,0.00023,0.5,98089,23,98077,6467363,65.93
1992,11,0.00029,0.00029,0.5,98066,28,98052,6369286,64.95
1992,12,0.00025,0.00025,0.5,98038,25,98026,6271234,63.97
1992,13,0.0003,0.0003,0.5,98013,29,97998,6173208,62.98
1992,14,0.00038,0.00038,0.5,97984,38,97965,6075210,62
1992,15,0.00043,0.00043,0.5,97946,42,97925,5977245,61.03
1992,16,0.00061,0.00061,0.5,97904,59,97874,5879319,60.05
1992,17,0.00063,0.00063,0.5,97845,62,97814,5781445,59.09
1992,18,0.00068,0.00068,0.5,97783,66,97750,5683631,58.12
1992,19,0.00082,0.00082,0.5,97717,80,97677,5585881,57.16
1992,20,0.00089,0.00089,0.5,97637,87,97593,5488204,56.21
1992,21,0.00105,0.00105,0.5,97550,102,97499,5390611,55.26
1992,22,0.00111,0.00111,0.5,97447,108,97393,5293113,54.32
1992,23,0.00102,0.00102,0.5,97339,99,97290,5195719,53.38
1992,24,0.00096,0.00096,0.5,97240,94,97193,5098430,52.43
1992,25,0.00114,0.00114,0.5,97146,110,97091,5001237,51.48
1992,26,0.00111,0.00111,0.5,97036,108,96982,4904146,50.54
1992,27,0.00102,0.00102,0.5,96928,99,96878,4807164,49.6
1992,28,0.00116,0.00116,0.5,96829,112,96773,4710285,48.65
1992,29,0.00107,0.00107,0.5,96717,104,96665,4613512,47.7
1992,30,0.00119,0.00119,0.5,96613,115,96556,4516848,46.75
1992,31,0.00126,0.00126,0.5,96498,122,96437,4420292,45.81
1992,32,0.00126,0.00126,0.5,96377,121,96316,4323854,44.86
1992,33,0.00124,0.00124,0.5,96255,120,96196,4227538,43.92
1992,34,0.00145,0.00145,0.5,96136,139,96066,4131343,42.97
1992,35,0.00168,0.00168,0.5,95996,162,95916,4035277,42.04
1992,36,0.00148,0.00148,0.5,95835,142,95764,3939361,41.11
1992,37,0.00164,0.00163,0.5,95693,156,95614,3843597,40.17
1992,38,0.00187,0.00187,0.5,95536,179,95447,3747983,39.23
1992,39,0.00182,0.00182,0.5,95357,174,95270,3652536,38.3
1992,40,0.00191,0.00191,0.5,95184,182,95093,3557266,37.37
1992,41,0.00243,0.00243,0.5,95002,231,94886,3462173,36.44
1992,42,0.00252,0.00252,0.5,94771,238,94652,3367287,35.53
